Country,TotalCases,ActiveCases,TotalRecovered,TotalDeaths
Syria,     5 134,    3 318,     1 565,      251
Suriname,     5 130,       77,     4 944,      109
Equatorial Guinea,     5 070,       33,     4 954,       83
Rwanda,     4 992,      161,     4 797,       34
Réunion,     4 921,      459,     4 445,       17
Central African Republic,     4 855,    2 869,     1 924,       62
Malta,     4 737,    1 450,     3 242,       45
French Polynesia,     4 548,    1 330,     3 202,       16
Aruba,     4 334,      260,     4 040,       34
Mayotte,     4 159,    1 152,     2 964,       43
Iceland,     4 101,    1 234,     2 856,       11
Estonia,     4 085,      788,     3 229,       68
Somalia,     3 890,      702,     3 089,       99
Guyana,     3 765,      905,     2 749,      111
Thailand,     3 691,      144,     3 488,       59
Gambia,     3 649,      882,     2 649,      118
Andorra,     3 623,    1 288,     2 273,       62
Latvia,     3 494,    2 109,     1 341,       44
Mali,     3 407,      687,     2 588,      132
South Sudan,     2 847,    1 502,     1 290,       55
Belize,     2 813,    1 099,     1 670,       44
Cyprus,     2 687,    1 218,     1 444,       25
Uruguay,     2 531,      375,     2 105,       51
Benin,     2 496,      125,     2 330,       41
Guinea-Bissau,     2 389,      566,     1 782,       41
Burkina Faso,     2 387,      520,     1 802,       65
Sierra Leone,     2 331,      498,     1 760,       73
Martinique,     2 257,    2 135,        98,       24
Togo,     2 071,      479,     1 541,       51
Yemen,     2 056,      121,     1 338,      597
New Zealand,     1 886,       37,     1 824,       25
Lesotho,     1 833,      830,       961,       42
Chad,     1 390,      103,     1 194,       93
Liberia,     1 377,       27,     1 268,       82
Niger,     1 211,       14,     1 128,       69
Vietnam,     1 140,       59,     1 046,       35
Sao Tome and Principe,       933,       20,       898,       15
Channel Islands,       767,       60,       659,       48
San Marino,       766,       36,       688,       42
Sint Maarten,       753,       62,       669,       22
Curaçao,       751,      292,       458,        1
Diamond Princess,       712,       40,       659,       13
Turks and Caicos,       698,        8,       684,        6
Papua New Guinea,       581,       33,       541,        7
Gibraltar,       577,      115,       462,       NA
Burundi,       549,       51,       497,        1
Taiwan*,       540,       40,       493,        7
Saint Martin,       531,      143,       380,        8
Tanzania,       509,      305,       183,       21
Comoros,       502,       10,       485,        7
Faeroe Islands,       485,       13,       472,       NA
Eritrea,       452,       64,       388,       NA
Mauritius,       417,       43,       364,       10
Isle of Man,       348,        5,       319,       24
Bhutan,       327,       26,       301,       NA
Mongolia,       324,       12,       312,       NA
Cambodia,       283,        3,       280,       NA
Monaco,       268,       44,       222,        2
Cayman Islands,       233,       20,       212,        1
Liechtenstein,       224,       81,       142,        1
Barbados,       222,       12,       203,        7
Bermuda,       185,        4,       172,        9
Caribbean Netherlands,       150,       26,       121,        3
Seychelles,       149,        1,       148,       NA
Brunei,       147,        1,       143,        3
Antigua and Barbuda,       119,       15,       101,        3
St. Barth,        72,       17,        55,       NA
British Virgin Islands,        71,        0,        70,        1
Saint Vincent and the Grenadines,        67,        3,        64,       NA
Macao,        46,        0,        46,       NA
Saint Lucia,        36,        9,        27,       NA
Dominica,        33,        4,        29,       NA
Fiji,        32,        0,        30,        2
Timor-Leste,        29,        1,        28,       NA
Grenada,        27,        3,        24,       NA
Holy See,        27,       12,        15,       NA
New Caledonia,        27,        0,        27,       NA
Laos,        23,        1,        22,       NA
Saint Kitts and Nevis,        19,        0,        19,       NA
Greenland,        16,        2,        14,       NA
Saint Pierre Miquelon,        16,        4,        12,       NA
Montserrat,        13,        0,        12,        1
Falkland Islands,        13,        0,        13,       NA
Western Sahara,        10,        1,         8,        1
MS Zaandam,         9,        7,        NA,        2
Anguilla,         3,        0,         3,       NA
Solomon Islands,         3,        3,        NA,       NA
Wallis and Futuna,         1,        1,        NA,       NA
China*,    85 685,      249,    80 802,    4 6
